"","X485RD_Date","FP_Date","AP_EAD_Date","X485AD_Date","Center","Type","State","Days_RDtoFP","Days_FPtoEAD","Days_EADto485AD","Days_RDto485AD","Year","Month"
"1198",2013-09-10,2013-09-20,2013-10-26,2013-12-06,"TSC","eb1a",NA,10,36,41,87,2013,0
"1199",2013-09-10,2013-10-04,2013-10-28,2013-11-01,"TSC","eb1a","FL",24,24,4,52,2013,0
"1200",2013-09-10,NA,NA,2013-11-15,"TSC",NA,NA,NA,NA,NA,66,2013,0
"1201",2013-09-09,2013-11-07,NA,2014-02-26,"TSC","eb1a",NA,59,NA,NA,170,2013,0
"1202",2013-09-09,2013-09-23,2013-11-09,2013-12-17,"TSC","eb1a",NA,14,47,38,99,2013,0
"1203",2013-09-09,2013-10-04,2013-10-18,2014-04-03,"TSC","eb1a",NA,25,14,167,206,2013,0
"1204",2013-09-09,2013-09-27,2013-10-23,2014-03-06,"TSC","eb1a","MA",18,26,134,178,2013,0
"1205",2013-09-09,2013-10-04,2013-10-28,2014-05-28,"TSC","eb1a",NA,25,24,212,261,2013,0
"1206",2013-09-09,2013-10-07,2013-10-30,2014-05-01,"TSC","eb1a",NA,28,23,183,234,2013,0
"1207",2013-09-06,2013-09-18,NA,2013-10-15,"TSC","eb1b","NY",12,NA,NA,39,2013,0
"1208",2013-09-06,2013-10-01,2013-10-26,2013-11-15,"TSC","eb1b",NA,25,25,20,70,2013,0
"1209",2013-09-05,2013-10-28,NA,2013-12-05,"TSC","eb1a","MD",53,NA,NA,91,2013,0
"1210",2013-09-05,2013-09-18,2013-10-19,2013-11-16,"TSC","eb1a","TX",13,31,28,72,2013,0
"1211",2013-09-05,2013-09-24,2013-11-01,2013-11-19,"TSC","eb1a",NA,19,38,18,75,2013,0
"1212",2013-09-05,2013-09-27,2013-10-24,2013-11-06,"TSC","eb1a","GA",22,27,13,62,2013,0
"1213",2013-09-04,2013-10-03,NA,2013-10-08,"TSC","eb1a",NA,29,NA,NA,34,2013,0
"1214",2013-08-30,2013-09-19,NA,2013-10-22,"TSC","eb1b",NA,20,NA,NA,53,2013,0
"1215",2013-08-30,2013-09-30,NA,2013-10-10,"TSC","eb1b","NY",31,NA,NA,41,2013,0
"1216",2013-08-28,2013-09-25,NA,2013-11-01,"TSC","eb1a","TN",28,NA,NA,65,2013,0
"1217",2013-08-27,NA,2013-09-05,2013-09-20,"TSC","eb1a",NA,NA,NA,15,24,2013,0
"1218",2013-08-27,2013-09-13,NA,2013-11-25,"TSC","eb1a",NA,17,NA,NA,90,2013,0
"1219",2013-08-23,2013-09-03,2013-09-30,2013-12-16,"TSC","eb1b",NA,11,27,77,115,2013,0
"1220",2013-08-23,2013-09-09,2013-11-06,2013-12-05,"TSC","eb1a",NA,17,58,29,104,2013,0
"1221",2013-08-19,2013-09-04,2013-09-26,2013-11-02,"TSC","eb1a",NA,16,22,37,75,2013,0
"1222",2013-08-15,2013-08-27,2013-09-28,2013-11-26,"TSC","eb1b","MA",12,32,59,103,2013,0
"1223",2013-08-15,2013-08-30,2013-09-28,2013-11-26,"TSC","eb1b","PA",15,29,59,103,2013,0
"1225",2013-08-13,2013-08-26,2013-09-30,2013-10-26,"TSC","eb1b","FL",13,35,26,74,2013,0
"1226",2013-08-12,2013-09-12,2013-09-24,2013-11-14,"TSC","eb1b",NA,31,12,51,94,2013,0
"1227",2013-08-12,2013-09-06,2013-09-30,2013-12-13,"TSC","eb1a",NA,25,24,74,123,2013,0
"1228",2013-08-09,2013-08-26,2013-11-08,2013-11-20,"TSC","eb1b","FL",17,74,12,103,2013,0
"1230",2013-08-09,2013-08-23,2013-09-24,2013-10-03,"TSC","eb1a","MD",14,32,9,55,2013,0
"1232",2013-08-07,2013-09-08,NA,2013-10-17,"TSC","eb1a",NA,32,NA,NA,71,2013,0
"1233",2013-08-07,2013-08-30,2013-10-08,2014-01-27,"TSC","eb1a",NA,23,39,111,173,2013,0
"1234",2013-08-05,2013-08-29,2013-10-04,2013-10-21,"TSC","eb1a","PA",24,36,17,77,2013,0
"1235",2013-08-05,2013-08-30,2013-09-13,2013-10-26,"TSC","eb1a",NA,25,14,43,82,2013,0
"1236",2013-08-02,2013-08-19,2013-09-09,2013-10-18,"TSC","eb1a","NC",17,21,39,77,2013,0
"1237",2013-08-02,NA,NA,2013-10-07,"",NA,NA,NA,NA,NA,66,2013,0
"1238",2013-08-01,2013-08-28,2013-09-19,2014-02-07,"TSC","eb1b","NY",27,22,141,190,2013,0
"1239",2013-08-01,2013-08-13,NA,2013-10-07,"TSC","eb1a","NC",12,NA,NA,67,2013,0
"1240",2013-07-30,2013-08-13,2013-09-04,2014-03-03,"TSC","eb1a","MA",14,22,180,216,2013,0
"1241",2013-07-29,2013-08-20,2013-08-27,2013-10-07,"TSC","eb1a","MA",22,7,41,70,2013,0
"1243",2013-07-25,2013-08-21,2013-08-19,2013-12-31,"TSC","eb1b",NA,27,-2,134,159,2013,0
"1244",2013-07-25,2013-08-07,2013-09-10,2013-10-12,"TSC","eb1a","MD",13,34,32,79,2013,0
"1245",2013-07-25,2013-08-02,2013-08-30,2013-10-04,"TSC","eb1a","TX",8,28,35,71,2013,0
"1247",2013-07-23,NA,NA,2013-10-01,"TSC","eb1a",NA,NA,NA,NA,70,2013,0
"1249",2013-07-18,2013-08-15,2013-08-28,2013-10-17,"TSC","eb1b",NA,28,13,50,91,2013,0
"1250",2013-07-18,2013-08-12,2013-10-02,2013-10-19,"TSC","eb1a","TX",25,51,17,93,2013,0
"1251",2013-07-18,2013-08-19,NA,2013-08-24,"TSC","eb1a",NA,32,NA,NA,37,2013,0
"1252",2013-07-18,2013-08-19,2013-08-28,2013-10-31,"TSC","eb1a",NA,32,9,64,105,2013,0
"1253",2013-07-17,2013-07-29,2013-08-16,2013-08-17,"TSC","eb1b",NA,12,18,1,31,2013,0
"1254",2013-07-17,2013-08-15,NA,2013-08-23,"TSC","eb1a",NA,29,NA,NA,37,2013,0
"1255",2013-07-16,2013-08-12,NA,2013-09-06,"TSC","eb1b",NA,27,NA,NA,52,2013,0
"1256",2013-07-16,2013-08-01,NA,2013-08-26,"TSC","eb1a","GA",16,NA,NA,41,2013,0
"1257",2013-07-15,2013-07-26,2013-08-19,2013-10-10,"TSC","eb1a",NA,11,24,52,87,2013,0
"1258",2013-07-12,2013-07-26,2013-08-21,2013-08-23,"TSC","eb1b","MA",14,26,2,42,2013,0
"1259",2013-07-12,2013-08-14,NA,2013-09-06,"TSC","eb1a",NA,33,NA,NA,56,2013,0
"1260",2013-07-11,2013-07-22,2013-08-19,2013-08-19,"TSC","eb1a",NA,11,28,0,39,2013,0
"1261",2013-07-09,2013-07-24,2013-08-09,2013-10-03,"TSC","eb1a","OK",15,16,55,86,2013,0
"1262",2013-07-09,2013-08-09,2013-08-09,2013-08-29,"TSC","eb1a",NA,31,0,20,51,2013,0
"1263",2013-07-05,2013-07-25,2013-08-16,2013-08-29,"TSC","eb1a","NH",20,22,13,55,2013,0
"1264",2013-07-03,2013-07-19,2013-08-21,2013-10-10,"TSC","eb1b",NA,16,33,50,99,2013,0
"1265",2013-07-03,2013-07-24,2013-08-09,2013-10-10,"TSC","eb1b",NA,21,16,62,99,2013,0
"1266",2013-07-03,2013-07-26,2013-08-30,2013-10-08,"TSC","eb1a",NA,23,35,39,97,2013,0
"1267",2013-06-27,2013-07-08,2013-08-03,2013-10-02,"TSC","eb1a",NA,11,26,60,97,2013,0
"1268",2013-06-24,2013-07-29,2013-08-21,2013-09-07,"TSC","eb1b",NA,35,23,17,75,2013,0
"1269",2013-06-24,2013-07-17,2013-07-18,2013-08-09,"TSC","eb1b",NA,23,1,22,46,2013,0
"1270",2013-06-21,2013-07-12,2013-08-22,2013-09-06,"TSC","eb1a",NA,21,41,15,77,2013,0
"1271",2013-06-20,2013-07-02,2013-08-09,2013-08-16,"TSC","eb1b",NA,12,38,7,57,2013,0
"1272",2013-06-19,2013-06-28,2013-07-24,2013-08-22,"TSC","eb1a","PA",9,26,29,64,2013,0
"1273",2013-06-17,2013-06-25,2013-07-20,2013-08-28,"TSC","eb1a",NA,8,25,39,72,2013,0
"1274",2013-06-13,2013-07-01,2013-07-25,2013-10-04,"TSC","eb1a",NA,18,24,71,113,2013,0
"1275",2013-06-12,2013-08-07,2013-07-19,2013-09-07,"TSC","eb1b",NA,56,-19,50,87,2013,0
"1277",2013-06-12,2013-06-25,2013-07-25,2013-08-27,"TSC","eb1a",NA,13,30,33,76,2013,0
"1278",2013-06-12,2013-07-10,2013-08-05,2013-08-26,"TSC","eb1a",NA,28,26,21,75,2013,0
"1279",2013-06-07,2013-08-12,NA,2013-09-09,"TSC","eb1a","MD",66,NA,NA,94,2013,0
"1280",2013-06-07,2013-06-27,2013-07-20,2013-08-10,"TSC","eb1a","PA",20,23,21,64,2013,0
"1281",2013-06-06,2013-07-08,2013-07-17,2013-07-26,"TSC","eb1a",NA,32,9,9,50,2013,0
"1282",2013-06-05,2013-06-18,2013-07-11,2013-07-15,"TSC","eb1a",NA,13,23,4,40,2013,0
"1283",2013-06-03,2013-07-02,2013-07-13,2013-10-04,"TSC","eb1a",NA,29,11,83,123,2013,0
"1284",2013-06-03,2013-07-01,2013-07-22,2013-07-27,"TSC","eb1a",NA,28,21,5,54,2013,0
"1285",2013-05-29,2013-06-26,2013-06-22,2013-07-12,"TSC","eb1b",NA,28,-4,20,44,2013,0
"1286",2013-05-29,2013-06-12,2013-06-20,2013-06-27,"TSC","eb1a",NA,14,8,7,29,2013,0
"1287",2013-05-23,2013-06-06,2013-07-11,2013-09-05,"TSC","eb1a",NA,14,35,56,105,2013,0
"1288",2013-05-21,2013-06-21,NA,2013-07-11,"TSC","eb1a",NA,31,NA,NA,51,2013,0
"1289",2013-05-20,2013-06-21,2013-06-17,2013-07-08,"TSC",NA,NA,32,-4,21,49,2013,0
"1290",2013-05-16,2013-06-04,2013-06-15,2013-06-22,"TSC","eb1a",NA,19,11,7,37,2013,0
"1291",2013-05-14,2013-06-14,2013-06-18,2013-06-28,"TSC",NA,NA,31,4,10,45,2013,0
"1292",2013-05-13,2013-05-31,2013-06-13,2013-07-01,"TSC","eb1b",NA,18,13,18,49,2013,0
"1293",2013-05-10,2013-05-30,NA,2013-08-15,"TSC","eb1a",NA,20,NA,NA,97,2013,0
"1294",2013-05-08,2013-05-20,2013-06-08,2013-08-03,"TSC","eb1a",NA,12,19,56,87,2013,0
"1295",2013-05-03,2013-05-23,2013-05-24,2013-06-14,"TSC","eb1b",NA,20,1,21,42,2013,0
"1296",2013-05-03,2013-06-06,2013-06-09,2013-06-28,"TSC",NA,NA,34,3,19,56,2013,0
"1297",2013-05-02,2013-05-31,2013-06-12,2013-06-24,"",NA,NA,29,12,12,53,2013,0
"1298",2013-05-01,2013-06-04,2013-05-21,2013-06-22,"TSC","eb1b",NA,34,-14,32,52,2013,0
"1299",2013-05-01,2013-05-20,2013-05-17,2013-06-10,"TSC",NA,NA,19,-3,24,40,2013,0
"1300",2013-04-29,2013-05-20,2013-05-23,2013-06-28,"TSC","eb1b",NA,21,3,36,60,2013,0
"1301",2013-04-29,2013-05-24,2013-05-17,2014-02-28,"TSC","eb1b",NA,25,-7,287,305,2013,0
"1302",2013-04-26,2013-05-28,2013-05-29,2013-07-24,"TSC","eb1b",NA,32,1,56,89,2013,0
"1303",2013-04-24,2013-05-09,2013-05-30,2013-07-22,"TSC","eb1b",NA,15,21,53,89,2013,0
"1304",2013-04-22,2013-05-16,2013-05-24,2013-06-11,"TSC","eb1a",NA,24,8,18,50,2013,0
"1305",2013-04-16,2013-05-15,2013-04-27,2013-06-01,"TSC","eb1a",NA,29,-18,35,46,2013,0
"1306",2013-04-15,2013-04-25,2013-04-27,2013-07-27,"TSC","eb1b",NA,10,2,91,103,2013,0
"1307",2013-04-15,2013-05-01,2013-04-27,2013-06-14,"TSC","eb1a",NA,16,-4,48,60,2013,0
"1308",2013-04-09,2013-04-23,2013-04-29,2013-06-07,"TSC","eb1a",NA,14,6,39,59,2013,0
"1309",2013-04-08,2013-05-02,NA,2013-05-31,"TSC","eb1a",NA,24,NA,NA,53,2013,0
"1310",2013-04-08,2013-04-19,2013-05-01,2013-05-16,"TSC","eb1a",NA,11,12,15,38,2013,0
"1311",2013-04-08,2013-04-18,2013-04-26,2013-05-29,"TSC","eb1a",NA,10,8,33,51,2013,0
"1312",2013-04-04,2013-05-24,2013-04-25,2013-06-22,"TSC","eb1a",NA,50,-29,58,79,2013,0
"1313",2013-04-04,2013-04-18,2013-04-25,2013-05-09,"TSC","eb1a",NA,14,7,14,35,2013,0
"1315",2013-04-04,2013-04-17,2013-04-24,2013-06-08,"TSC","eb1a",NA,13,7,45,65,2013,0
"1316",2013-04-03,2013-04-16,2013-04-23,2013-05-21,"TSC","eb1b",NA,13,7,28,48,2013,0
"1317",2013-04-02,2013-05-06,2013-04-27,2013-05-30,"TSC","eb1a",NA,34,-9,33,58,2013,0
"1318",2013-04-01,NA,2013-04-19,2013-05-09,"TSC ",NA,NA,NA,NA,20,38,2013,0
"1319",2013-03-29,2013-04-25,2013-04-19,2013-06-03,"TSC","eb1b",NA,27,-6,45,66,2013,0
"1320",2013-03-29,2013-04-17,2013-04-18,2013-05-10,"TSC","eb1a",NA,19,1,22,42,2013,0
"1321",2013-03-29,NA,NA,2013-05-07,"TSC",NA,NA,NA,NA,NA,39,2013,0
"1322",2013-03-28,2013-04-09,NA,2013-06-03,"TSC","eb1b",NA,12,NA,NA,67,2013,0
"1323",2013-03-28,2013-04-09,2013-04-19,2013-06-10,"TSC","eb1b",NA,12,10,52,74,2013,0
"1324",2013-03-28,2013-04-25,NA,2013-06-27,"TSC","eb1a",NA,28,NA,NA,91,2013,0
"1325",2013-03-27,NA,NA,2013-04-27,"TSC","eb1a",NA,NA,NA,NA,31,2013,0
"1326",2013-03-26,NA,NA,2013-06-03,"TSC","eb1b",NA,NA,NA,NA,69,2013,0
"1327",2013-03-26,2013-04-05,2013-04-11,2013-05-08,"TSC","eb1a",NA,10,6,27,43,2013,0
"1329",2013-03-25,2013-04-08,2013-04-15,2013-05-03,"TSC","eb1b",NA,14,7,18,39,2013,0
"1330",2013-03-25,2013-04-05,2013-04-22,2013-05-09,"TSC","eb1a",NA,11,17,17,45,2013,0
"1331",2013-03-25,2013-04-08,2013-04-23,2013-07-08,"TSC","eb1a",NA,14,15,76,105,2013,0
"1332",2013-03-25,2013-04-25,2013-04-22,2013-05-31,"TSC","eb1a",NA,31,-3,39,67,2013,0
"1333",2013-03-22,2013-04-05,2013-04-19,2013-04-20,"TSC","eb1b",NA,14,14,1,29,2013,0
"1334",2013-03-22,2013-04-19,NA,2013-04-27,"",NA,NA,28,NA,NA,36,2013,0
"1335",2013-03-20,2013-04-08,2013-04-08,2013-06-18,"TSC","eb1b",NA,19,0,71,90,2013,0
"1336",2013-03-18,2013-06-04,2013-04-08,2013-06-20,"TSC","eb1b",NA,78,-57,73,94,2013,0
"1337",2013-03-18,2013-04-15,2013-04-04,2013-05-15,"TSC","eb1b",NA,28,-11,41,58,2013,0
"1338",2013-03-14,2013-03-27,2013-04-03,2013-07-10,"TSC","eb1a",NA,13,7,98,118,2013,0
"1339",2013-03-14,2013-03-26,NA,2013-04-11,"TSC","eb1a",NA,12,NA,NA,28,2013,0
"1340",2013-03-14,2013-03-27,NA,2013-04-15,"TSC","eb1a",NA,13,NA,NA,32,2013,0
"1341",2013-03-14,2013-03-26,2013-03-27,2013-04-12,"TSC",NA,NA,12,1,16,29,2013,0
"1342",2013-03-13,2013-04-05,2013-04-01,2013-04-26,"TSC","eb1b",NA,23,-4,25,44,2013,0
"1343",2013-03-13,2013-03-25,2013-04-15,2013-05-13,"TSC","eb1a",NA,12,21,28,61,2013,0
"1344",2013-03-13,2013-03-29,2013-04-15,2013-05-13,"TSC","eb1a",NA,16,17,28,61,2013,0
"1345",2013-03-12,2013-03-25,2013-04-05,2013-06-06,"TSC","eb1b",NA,13,11,62,86,2013,0
"1346",2013-03-11,2013-03-25,NA,2013-04-13,"TSC","eb1b",NA,14,NA,NA,33,2013,0
"1347",2013-03-11,2013-04-04,2013-03-26,2013-04-29,"TSC","eb1b",NA,24,-9,34,49,2013,0
"1348",2013-03-11,2013-04-04,2013-04-13,2013-04-29,"TSC",NA,NA,24,9,16,49,2013,0
"1349",2013-03-08,2013-04-09,2013-04-01,2013-06-01,"TSC","eb1a",NA,32,-8,61,85,2013,0
"1350",2013-03-07,2013-04-03,2013-04-15,2013-06-18,"TSC","eb1a",NA,27,12,64,103,2013,0
"1352",2013-03-05,2013-03-26,2013-03-25,2013-04-10,"TSC","eb1b",NA,21,-1,16,36,2013,0
"1353",2013-03-04,2013-03-17,NA,2013-05-13,"TSC","eb1a",NA,13,NA,NA,70,2013,0
"1354",2013-03-01,2013-04-10,2013-04-11,2013-05-04,"TSC","eb1a",NA,40,1,23,64,2013,0
"1355",2013-03-01,2013-03-18,NA,2013-04-01,"TSC","eb1a",NA,17,NA,NA,31,2013,0
"1356",2013-02-28,2013-03-13,2013-04-08,2013-04-13,"TSC","eb1a",NA,13,26,5,44,2013,0
"1357",2013-02-28,2013-03-13,NA,2013-04-03,"TSC",NA,NA,13,NA,NA,34,2013,0
"1358",2013-02-27,2013-03-12,2013-03-20,2013-04-02,"TSC","eb1b",NA,13,8,13,34,2013,0
"1360",2013-02-27,2013-03-18,NA,2013-04-17,"TSC","eb1b",NA,19,NA,NA,49,2013,0
"1361",2013-02-27,2013-03-18,NA,2013-04-01,"TSC","eb1a",NA,19,NA,NA,33,2013,0
"1362",2013-02-27,2013-03-19,NA,2013-04-15,"TSC",NA,NA,20,NA,NA,47,2013,0
"1363",2013-02-27,2013-03-26,2013-03-23,2013-04-12,"TSC",NA,NA,27,-3,20,44,2013,0
"1364",2013-02-26,2013-03-05,NA,2013-04-06,"TSC","eb1a",NA,7,NA,NA,39,2013,0
"1365",2013-02-25,2013-03-06,NA,2013-04-06,"TSC","eb1a",NA,9,NA,NA,40,2013,0
"1366",2013-02-25,2013-03-15,NA,2013-04-27,"TSC","eb1a",NA,18,NA,NA,61,2013,0
"1367",2013-02-25,2013-03-24,NA,2013-04-04,"TSC","eb1a",NA,27,NA,NA,38,2013,0
"1368",2013-02-21,2013-02-27,NA,2013-05-01,"TSC",NA,NA,6,NA,NA,69,2013,0
"1369",2013-02-20,2013-03-12,NA,2013-04-26,"TSC","eb1a",NA,20,NA,NA,65,2013,0
"1370",2013-02-20,2013-03-01,2013-04-01,2013-05-22,"TSC","eb1a",NA,9,31,51,91,2013,0
"1371",2013-02-19,NA,NA,2013-05-03,"TSC",NA,NA,NA,NA,NA,73,2013,0
"1372",2013-02-15,2013-03-08,2013-03-12,2013-05-30,"TSC","eb1b",NA,21,4,79,104,2013,0
"1373",2013-02-15,NA,2013-03-15,2013-04-01,"TSC","eb1b",NA,NA,NA,17,45,2013,0
"1374",2013-02-14,2013-03-13,2013-04-03,2013-04-20,"TSC","eb1a",NA,27,21,17,65,2013,0
"1375",2013-02-13,NA,NA,2013-03-22,"TSC","eb1b",NA,NA,NA,NA,37,2013,0
"1376",2013-02-13,NA,NA,2013-05-30,"TSC","eb1b",NA,NA,NA,NA,106,2013,0
"1377",2013-02-13,2013-03-12,2013-03-13,2013-04-05,"TSC","eb1a",NA,27,1,23,51,2013,0
"1378",2013-02-12,2013-03-12,NA,2013-04-10,"TSC","eb1b",NA,28,NA,NA,57,2013,0
"1379",2013-02-11,2013-03-13,2013-03-05,2013-03-29,"TSC","eb1a",NA,30,-8,24,46,2013,0
"1380",2013-02-08,2013-02-26,2013-03-02,2013-03-22,"TSC","eb1a",NA,18,4,20,42,2013,0
"1381",2013-02-08,NA,NA,2013-04-01,"TSC",NA,NA,NA,NA,NA,52,2013,0
"1382",2013-02-07,2013-02-26,2013-03-05,2013-04-01,"TSC ","eb1b",NA,19,7,27,53,2013,0
"1383",2013-02-07,2013-03-07,2013-03-05,2013-05-06,"TSC","eb1a",NA,28,-2,62,88,2013,0
"1384",2013-02-07,2013-02-21,NA,2013-05-07,"TSC","eb1a",NA,14,NA,NA,89,2013,0
"1385",2013-02-07,2013-03-05,NA,2013-03-21,"TSC","eb1a",NA,26,NA,NA,42,2013,0
"1386",2013-02-05,2013-03-04,2013-02-26,2013-04-03,"TSC","eb1a",NA,27,-6,36,57,2013,0
"1387",2013-02-01,2013-02-25,2013-02-22,2013-04-17,"TSC",NA,NA,24,-3,54,75,2013,0
"1388",2013-02-01,2013-02-28,NA,2013-04-06,"TSC","eb1b",NA,27,NA,NA,64,2013,0
"1389",2013-01-31,2013-02-25,NA,2013-04-01,"TSC","eb1b",NA,25,NA,NA,60,2013,0
"1390",2013-01-31,2013-02-15,NA,2013-04-02,"TSC","eb1a",NA,15,NA,NA,61,2013,0
"1391",2013-01-30,2013-02-15,2013-02-26,2013-04-19,"TSC","eb1a",NA,16,11,52,79,2013,0
"1392",2013-01-29,2013-02-21,2013-02-26,2013-04-12,"TSC","eb1b",NA,23,5,45,73,2013,0
"1393",2013-01-25,2013-02-11,2013-02-08,2013-03-02,"TSC","eb1b",NA,17,-3,22,36,2013,0
"1394",2013-01-25,2013-02-11,2013-03-05,2013-06-01,"TSC","eb1b",NA,17,22,88,127,2013,0
"1395",2013-01-25,2013-02-26,2013-02-12,2013-04-10,"TSC","eb1b",NA,32,-14,57,75,2013,0
"1396",2013-01-24,2013-02-06,2013-02-21,2013-02-22,"TSC","eb1a",NA,13,15,1,29,2013,0
"1397",2013-01-23,2013-02-14,2013-02-08,2013-03-28,"TSC","eb1b",NA,22,-6,48,64,2013,0
"1398",2013-01-23,2013-03-01,NA,2013-04-11,"TSC","eb1b",NA,37,NA,NA,78,2013,0
"1399",2013-01-16,2013-01-30,2013-02-13,2013-02-22,"TSC","eb1b",NA,14,14,9,37,2013,0
"1400",2013-01-16,2013-02-11,2013-02-06,2013-05-16,"TSC","eb1b",NA,26,-5,99,120,2013,0
"1401",2013-01-14,2013-02-15,2013-01-26,2013-04-09,"TSC","eb1a",NA,32,-20,73,85,2013,0
"1403",2012-12-19,2013-01-17,2013-01-26,2013-02-15,"TSC","eb1b",NA,29,9,20,58,2012,0
"1404",2012-12-12,2013-03-07,NA,2013-04-06,"TSC","eb1c",NA,85,NA,NA,115,2012,0
"1405",2012-12-12,2013-01-09,2013-02-01,2013-02-26,"TSC","eb1b",NA,28,23,25,76,2012,0
"1406",2012-12-07,2013-02-21,2013-02-19,2013-03-09,"TSC","eb1b",NA,76,-2,18,92,2012,0
"1407",2012-12-06,2013-02-08,2012-12-29,2013-04-27,"TSC","eb1a",NA,64,-41,119,142,2012,0
"1408",2012-12-06,2013-01-04,2013-01-11,2013-02-12,"TSC","eb1a",NA,29,7,32,68,2012,0
"1409",2012-12-05,2013-01-14,NA,2013-02-08,"TSC","eb1a",NA,40,NA,NA,65,2012,0
"1410",2012-12-03,NA,NA,2013-03-18,"TSC","eb1a",NA,NA,NA,NA,105,2012,0
"1411",2012-12-01,2012-12-21,NA,2013-02-08,"TSC",NA,NA,20,NA,NA,69,2012,0
"1412",2012-12-01,2012-12-21,NA,2013-05-30,"TSC",NA,NA,20,NA,NA,180,2012,0
"1413",2012-11-30,2012-12-18,2012-12-21,2013-01-19,"TSC","eb1b",NA,18,3,29,50,2012,0
"1414",2012-11-29,2012-12-12,NA,2012-12-27,"TSC","eb1b",NA,13,NA,NA,28,2012,0
"1415",2012-11-29,2012-12-31,NA,2013-01-12,"TSC","eb1a",NA,32,NA,NA,44,2012,0
"1416",2012-11-26,2012-12-04,NA,2012-12-21,"TSC",NA,NA,8,NA,NA,25,2012,0
"1417",2012-11-23,2012-12-26,2012-12-17,2013-04-08,"TSC","eb1b",NA,33,-9,112,136,2012,0
"1418",2012-11-21,2012-11-27,2012-12-20,2012-12-28,"TSC","eb1a",NA,6,23,8,37,2012,0
"1419",2012-11-19,2012-12-05,2012-12-17,2013-01-26,"TSC","eb1a",NA,16,12,40,68,2012,0
"1420",2012-11-13,2012-11-27,2012-12-14,2013-01-23,"TSC","eb1b",NA,14,17,40,71,2012,0
"1421",2012-11-09,NA,2012-11-11,2012-12-09,"TSC","eb1a",NA,NA,NA,28,30,2012,0
"1422",2012-11-01,2012-12-04,2012-12-07,2013-01-10,"TSC","eb1b",NA,33,3,34,70,2012,0
"1423",2012-10-31,2012-12-03,2012-12-26,2012-12-26,"TSC","eb1b",NA,33,23,0,56,2012,0
"1424",2012-10-29,2012-11-14,NA,2012-12-03,"TSC","eb1a",NA,16,NA,NA,35,2012,0
"1425",2012-10-26,2012-12-04,2012-12-21,2012-12-26,"TSC","eb1a",NA,39,17,5,61,2012,0
"1426",2012-10-24,2012-11-06,NA,2012-12-12,"TSC","eb1a",NA,13,NA,NA,49,2012,0
"1427",2012-10-18,2012-11-09,NA,2012-11-26,"TSC","eb1b",NA,22,NA,NA,39,2012,0
"1428",2012-10-18,2012-11-16,NA,2012-12-11,"TSC",NA,NA,29,NA,NA,54,2012,0
"1429",2012-10-12,2012-11-21,NA,2012-12-15,"TSC",NA,NA,40,NA,NA,64,2012,0
"1430",2012-10-11,2012-11-14,NA,2012-12-31,"TSC",NA,NA,34,NA,NA,81,2012,0
"1431",2012-10-09,2012-10-29,NA,2012-11-09,"TSC","eb1b",NA,20,NA,NA,31,2012,0
"1432",2012-10-09,2012-10-31,2012-11-07,2012-12-17,"TSC","eb1b",NA,22,7,40,69,2012,0
"1433",2012-10-03,2012-10-29,NA,2012-12-08,"TSC","eb1a",NA,26,NA,NA,66,2012,0
"1434",2012-09-27,2012-10-24,2012-10-19,2012-12-17,"TSC","eb1a",NA,27,-5,59,81,2012,0
"1435",2012-09-25,2012-11-09,NA,2012-12-10,"TSC","eb1a",NA,45,NA,NA,76,2012,0
"1436",2012-09-25,2012-10-24,2012-10-26,2012-11-29,"TSC",NA,NA,29,2,34,65,2012,0
"1437",2012-09-19,2012-10-04,2012-10-17,2012-10-26,"TSC",NA,NA,15,13,9,37,2012,0
"1438",2012-09-19,NA,NA,2012-11-27,"TSC",NA,NA,NA,NA,NA,69,2012,0
"1439",2012-09-18,2012-10-22,2012-10-05,2012-11-06,"TSC",NA,NA,34,-17,32,49,2012,0
"1440",2012-09-15,2012-11-28,NA,2012-12-21,"TSC",NA,NA,74,NA,NA,97,2012,0
"1441",2012-09-13,2012-10-18,2012-10-22,2012-12-26,"TSC","eb1a",NA,35,4,65,104,2012,0
"1442",2012-09-02,NA,NA,2012-12-14,"TSC","eb1b",NA,NA,NA,NA,103,2012,0
"1443",2012-08-31,2012-09-27,2012-09-27,2012-11-03,"TSC","eb1a",NA,27,0,37,64,2012,0
"1444",2012-08-29,2012-10-17,2012-10-05,2012-11-28,"TSC","eb1a",NA,49,-12,54,91,2012,0
"1445",2012-08-15,2012-09-13,2012-09-12,2013-01-26,"TSC","eb1b",NA,29,-1,136,164,2012,0
"1446",2012-08-07,NA,NA,2013-01-02,"TSC","eb1a",NA,NA,NA,NA,148,2012,0
"1447",2012-08-03,2012-08-23,NA,2012-09-26,"TSC","eb1a",NA,20,NA,NA,54,2012,0
"1448",2012-07-25,2012-08-16,NA,2012-11-08,"TSC","eb1a",NA,22,NA,NA,106,2012,0
"1449",2012-07-24,2012-08-16,2012-08-20,2012-11-03,"","eb1a",NA,23,4,75,102,2012,0
"1450",2012-07-20,2012-08-15,NA,2012-12-14,"TSC","eb1a",NA,26,NA,NA,147,2012,0
"1451",2012-07-13,2012-08-06,NA,2012-10-04,"TSC","eb1a",NA,24,NA,NA,83,2012,0
"1452",2012-07-10,2012-08-09,2012-08-04,2012-11-05,"TSC","eb1a",NA,30,-5,93,118,2012,0
"1453",2012-07-08,2012-08-08,NA,2012-11-01,"","eb1b",NA,31,NA,NA,116,2012,0
