"","X485RD_Date","FP_Date","AP_EAD_Date","X485AD_Date","Center","Type","State","Days_RDtoFP","Days_FPtoEAD","Days_EADto485AD","Days_RDto485AD","Year","Month"
"938",2015-04-21,2015-05-20,2015-07-15,2015-10-30,"TSC","eb1a","TX",29,56,107,192,2015,0
"939",2015-04-20,2015-05-13,2015-05-20,2015-06-13,"TSC","eb1b","PA",23,7,24,54,2015,0
"942",2015-04-16,2015-05-11,NA,2015-06-30,"TSC","eb1b",NA,25,NA,NA,75,2015,0
"943",2015-04-16,2015-05-15,NA,2015-06-09,"TSC","eb1a","NY",29,NA,NA,54,2015,0
"949",2015-04-08,2015-04-27,2015-05-16,2015-05-16,"TSC","eb1b","AR",19,19,0,38,2015,0
"955",2015-04-03,2015-04-21,2015-05-11,2015-05-22,"TSC","eb1b","PA",18,20,11,49,2015,0
"958",2015-04-01,2015-04-28,2015-05-13,2015-05-21," TSC","eb1a","MA",27,15,8,50,2015,0
"959",2015-04-01,2015-05-01,2015-05-13,2015-05-22,"TSC","eb1a","PA",30,12,9,51,2015,0
"960",2015-03-30,2015-04-30,2015-05-19,2015-05-29,"TSC","eb1a",NA,31,19,10,60,2015,0
"961",2015-03-30,2015-04-27,2015-05-15,2015-05-20,"TSC","eb1a","MD",28,18,5,51,2015,0
"963",2015-03-26,2015-04-13,NA,2015-06-12,"TSC","eb1b",NA,18,NA,NA,78,2015,0
"964",2015-03-25,2015-04-22,2015-05-11,2015-06-26,"TSC","eb1b",NA,28,19,46,93,2015,0
"965",2015-03-25,2015-04-23,2015-05-06,2015-05-22,"TSC","eb1a","PA",29,13,16,58,2015,0
"966",2015-03-25,2015-04-20,2015-05-06,2015-05-09,"TSC","eb1a","TN",26,16,3,45,2015,0
"968",2015-03-20,2015-04-13,NA,2015-05-06,"TSC","eb1a","TX",24,NA,NA,47,2015,0
"969",2015-03-20,2015-04-03,NA,2015-05-08,"TSC","eb1a","MD",14,NA,NA,49,2015,0
"974",2015-03-11,2015-04-07,2015-05-07,2015-05-11,"TSC","eb1a",NA,27,30,4,61,2015,0
"976",2015-03-09,2015-04-15,2015-04-21,2015-05-15,"TSC
","eb1b","MA",37,6,24,67,2015,0
"978",2015-03-04,2015-03-27,2015-05-05,2015-05-15,"TSC","eb1b",NA,23,39,10,72,2015,0
"981",2015-03-03,2015-04-10,2015-04-30,2015-05-09,"TSC",NA,"MA",38,20,9,67,2015,0
"983",2015-03-03,2015-03-30,2015-05-11,2015-08-10,"TSC","eb1a","CT",27,42,91,160,2015,0
"985",2015-02-26,2015-03-17,NA,2015-05-09,"TSC","eb1b","MD",19,NA,NA,72,2015,0
"986",2015-02-26,2015-03-30,2015-04-27,2015-05-14,"TSC","eb1a","TX",32,28,17,77,2015,0
"988",2015-02-23,2015-03-23,2015-04-24,2015-04-22,"TSC","eb1a","VA",28,32,-2,58,2015,0
"989",2015-02-20,2015-03-18,2015-05-01,2015-05-01,"TSC","eb1a","MA",26,44,0,70,2015,0
"990",2015-02-17,2015-03-16,2015-05-06,2015-11-10,"TSC","eb1a","TX",27,51,188,266,2015,0
"993",2015-02-10,2015-03-18,2015-04-29,2015-05-13,"TSC","eb1b","MD",36,42,14,92,2015,0
