,140 PP? 140/485 CC?,Center,Type,485 RD,FP Notice Date ,Days from RD to FP Notice Date,Scheduled FP Date,FP Date,Walk in?,,"AP / EAD 
Approved 
Date","Days from
RD to AP/EAD AD",485 AD,"Days from
 FP Date to
485 AD",New Card Is Being Produced,Days from RD,Please Don't Filter Data!!!,,
hyd,"Non PP, CC",NSC,EB1A,8/14/2015,9/24/2015,41,10/6/2015,10/6/2015,No,CA,11/20/2015,98,Blessing,,,124,,,
fireforest,"PP, nonCC",NSC,EB1A,8/12/2015,9/11/2015,30,9/25/2015,9/14/2015,Yes,MO,,,2015-10-13,29,62,89,Easy walk in,,
Apoe26,"PP, nonCC",NSC,EB1A,8/11/2015,9/11/2015,31,9/23/2015,9/14/2015,Yes,CA,10/7/2015,57,10/22/2015,38,72,89,"Easy walk in, people at SF ASC were nice",,
jzerjzer,"PP, nonCC",NSC,EB1B,8/11/2015,9/14/2015,33,9/23/2015,9/14/2015,Yes,IN,,,Blessing,,,127,Easy walk in,,
tulatin,"PP, nonCC",NSC,EB1A,8/10/2015,9/10/2015,30,9/22/2015,9/16/2015,Yes,CA,11/3/2015,85,Blessing,,,128,easy walk in at santa Ana,,
itshup,"PP, nonCC",NSC,EB1A,8/10/2015,9/14/2015,35,9/26/2015,9/26/2015,No,OH,,,10/22/2015,26,73,89,,,
Gavin,"PP, nonCC",NSC,EB1B,8/6/2015,9/4/2015,29,9/22/2015,9/22/2015,No,CA,10/13/2015,68,Blessing,,,132,,,
lair1,"PP, nonCC",NSC,EB1A,8/3/2015,8/29/2015,26,9/16/2015,9/16/2015,NO,CA,11/3/2015,92,Blessing,,,135,,,
EB1140,"N PP, N CC",NSC,EB1A,7/28/2015,8/29/2015,32,9/14/2015,9/14/2015,NO,NC,10/15/2015,79,Blessing,,,141,140 in NSC. Live in NC now and Sent 485 to TSC. Case was transferred to TSC,,
hotdog,"PP, nonCC",NSC,EB1B,7/27/2015,8/23/2015,27,9/4/2015,9/4/2015,NO,"MA
",10/13/2015,79,Blessing,,,142,,,
specu,"PP, nonCC",NSC,EB1B,7/27/2015,8/22/2015,26,9/8/2015,8/28/2015,Yes,MN,10/8/2015,73,Blessing,,,142,walk in through St Paul ASC,,
koalawjy,PP,TSC,EB1B,7/24/2015,8/12/2015,18,8/18/2015,8/18/2015,Yes,CA,9/25/2015,60,11/20/2015,94,119,,,,
trustchan,"pp, nonCC",NSC,EB1A,7/20/2015,8/10/2015,31,8/25/2015,8/25/2015,No,CA,,,10/26/2015,62,98,,,,
coughingcat,"PP, nonCC",NSC,EB1B,7/20/2015,8/17/2015,28,8/25/2015,8/25/2015,No,CA,,,Blessing,,,149,,,
cv,"PP, nonCC",NSC,EB1A,7/8/2015,8/5/2015,28,8/21/2015,8/21/2015,No,CO,9/26/2015,80,2015-10-07,47,91,,,,
totosky,"PP, nonCC",NSC,EB1A,7/8/2015,8/12/2015,,8/21/2015,8/19/2015,Y,IN,9/30/2015,80,2015-10-01,43,85,,,,
jh,"PP, nonCC",NSC,EB1A,7/7/2015,7/31/2015,24,8/17/2015,8/10/2015,Yes,MI,9/30/2015,85,11/10/2015,92,,,,,
ja,"PP, nonCC",NSC,EB1A,7/1/2015,8/1/2015,31,8/20/2015,8/10/2015,Yes,AZ,9/18/2015,79,10/21/2015,72,112,,,,
cb,"PP, nonCC",NSC,EB1A,7/1/2015,7/25/2015,24,8/14/2015,8/3/2015,Yes,CA,,,Blessing,,,168,,,
Bonnie2014,Non PP non CC,NSC,EB1A,7/1/2015,,,8/18/2015,8/18/2015,no,IL,9/21/2015,81,10/21/2015,64,112,,,,
intrepid,"PP, nonCC",NSC,EB1A,6/30/2015,8/1/2015,32,8/12/2015,,,NY,,,Blessing,,,169,,,
Echo,"PP, nonCC",NSC,EB1B,6/30/2015,8/1/2015,32,8/19/2015,8/7/2015,Yes,CA,9/21/2015,83,Blessing,,,169,,,
lmbeseu,"PP, nonCC",NSC,EB1A,6/29/2015,8/1/2015,32,8/19/2015,8/19/2015,No,TX,9/29/2015,92,2015-10-05,47,98,,140 in NSC. Live in Tx now and Sent 485 to TSC. Case was transferred to NSC,,
LL,"PP, nonCC",NSC,EB1B,6/29/2015,7/30/2015,31,8/11/2015,8/11/2015,No,CA,9/28/2015,90,Blessing,,,170,,,
snaillians,"PP, nonCC",NSC,EB1A,6/26/2015,8/1/2015,36,8/21/2015,,,CA,8/3/2015,38,Blessing,,,173,Request for expedite processing due to severe financial loss,,
Stever,"nonPP, nonCC",NSC,EB1A,6/25/2015,7/25/2015,30,8/10/2015,8/10/2015,No,MN,9/16/2015,38,Blessing,,,174,,,
Luka,"PP, nonCC",NSC,EB1B,6/23/2015,7/25/2015,32,8/10/2015,8/10/2015,No,CA,9/21/2015,90,10/21/2015,72,120,,,,
LY,"PP, nonCC",NSC,EB1B,6/23/2015,7/25/2015,32,8/10/2015,7/31/2015,Yes,IL,,,9/23/2015,54,92,,,,
Amy,"PP,nonCC",NSC,EB1A,6/19/2015,7/25/2015,38,8/14/2015,7/28/2015,Yes,OH,,,Blessing,,,180,,,
Lisa,"PP, nonCC",NSC,EB1B,6/18/2015,7/25/2015,37,8/12/2015,,,CA,,,Blessing,,,181,,,
JYZ,"PP, nonCC",NSC,EB1B,6/15/2015,,,,,,,,,Blessing,,,181,,,
Travis,"PP, nonCC",NSC,EB1A,6/11/2015,7/25/2015,45,8/10/2015,8/3/2015,Yes,CA,9/11/2015,92,2015-09-17,45,98,,,,
flyday,"nonPP, nonCC",NSC,EB1B,6/11/2015,7/16/2015,35,7/30/2015,7/30/2015,No,CA,,,Blessing,,,188,,,
orangepapa,"PP, nonCC",NSC,EB1A,6/10/2015,7/11/2015,31,7/28/2015,7/17/2015,Yes,CA,7/14/2015,34,Blessing,,,189,"Received FP notice mail on 7/16, not easy but successful walk-in for FP at 8 am on 7/17; EAD/AP of primary applicant and two dependents approved on 7/14/2015 when FP notice still not received",,
Fishplay,"PP, nonCC",NSC,EB1A,6/10/2015,7/16/2015,36,7/29/2015,7/29/2015,No,CA,8/27/2015,78,Blessing,,,189,,,
seacollapse,"nonPP, nonCC",NSC,EB1A,6/9/2015,7/10/2015,31,7/30/2015,7/30/2015,No,WA,,,Blessing,,,190,,,
Ibrahimovic,"PP, nonCC",NSC,EB1A,6/8/2015,7/10/2015,32,7/27/2015,7/27/2015,No,TX,8/19/2015,72,Blessing,,,191,,,
XWCHN,"PP, nonCC",NSC,EB1A,6/8/2015,7/12/2015,34,7/31/2015,7/16/2015,Yes,WA,,,Blessing,,,191,,,
nicolasaries,"PP, nonCC",NSC,EB1B,6/8/2015,7/10/2015,32,7/27/2015,7/17/2015,Yes,CA,8/19/2015,72,2015-09-09,54,93,,"Received FP notice mail on 7/16, no case status change or email, dependent RFE on 8/27, primary no status change, primary 458 approve at 9/9/2015, dependent 485 approve at 10/2/2015",,
Bianka,"nonPP, nonCC",NSC,EB2,6/3/2015,7/11/2015,38,7/29/2015,7/17/2015,Yes,MO,,,Blessing,,,196,"Received FP notice mail on 7/16, no case status change or email; Easy walk in at 12:20pm",,
inspirer,"PP,CC",NSC,EB1B,6/1/2015,7/2/2015,31,7/16/2015,7/16/2015,No,CA,,,Blessing,,,198,,,
xiaochen31,"PP, nonCC",NSC,EB1A,5/29/2015,6/26/2015,28,7/17/2015,7/17/2015,No,IA,8/10/2015,73,Blessing,,,201,Received FP notice mail on 7/2,,
mgww,"PP, nonCC",NSC,EB1B,5/28/2015,6/27/2015,30,7/13/2015,7/8/2015,Yes,CA,8/5/2015,69,Blessing,,,202,Received FP notice mail on 7/2; second time walk-in success at 12:30 pm,,
Shawling,"nonPP, CC",NSC,EB1A,5/27/2015,6/26/2015,30,7/9/2015,7/15/2015,Yes,IN,8/5/2015,70,10/21/2015,98,147,,Received FP notice mail on 6/25; Was travling in China; Easy walk-in at 8:00am on July 15,,
andyge,"PP, nonCC",NSC,EB1A,5/26/2015,6/27/2015,32,7/6/2015,7/6/2015,No,CA,8/1/2015,67,Blessing,,,204,,,
kadila,"PP, nonCC",NSC,EB1A,5/26/2015,6/26/2015,31,7/16/2015,7/7/2015,Yes,MI,7/31/2015,66,Blessing,,,204,Received FP notice mail on 7/2; Easy walk-in at 8:45am;主副同时EAD/AP,,
EmmaBear,"nonPP, nonCC",NSC,EB1A,5/26/2015,6/27/2015,32,7/16/2015,7/14/2015,Yes,MI,7/28/2015,,2015-09-16,64,113,,First Walkin failed. Try second time..... suggestion: don't walkin after 3pm. ,,
lampson0505,"PP, nonCC",NSC,EB1A,5/26/2015,6/25/2015,30,7/7/2015,6/29/2015,Yes,WA,7/21/2015,56,2015-08-12,44,78,,Received FP notice mail on 6/25; Easy walk-in at 8:30am;主副EAD/AP Approved 7/21;主副同绿,,
ors,"PP, nonCC",NSC,EB1B,5/26/2015,6/27/2015,32,7/13/2015,7/7/2015,Yes,AZ,8/4/2015,70,2015-08-06,30,72,,Received FP notice mail on 7/2; Easy walk-in at 9:30am,,
Deissler,"PP, nonCC",NSC,EB1A,5/21/2015,6/27/2015,37,7/17/2015,7/7/2015,Yes,GA,7/28/2015,68,Blessing,,,209,Received FP notice mail on 7/3; Easy walk-in at 2:00pm,,
TH,"PP, nonCC",NSC,EB1A,5/20/2015,6/20/2015,31,7/10/2015,7/1/2015,Yes,CA,7/30/2015,71,Blessing,,,210,Received FP notice mail on 6/25,,
Monna,"PP, nonCC",NSC,EB1A,5/20/2015,6/20/2015,31,7/8/2015,7/8/2015,No,CA,7/28/2015,69,2015-08-03,26,75,,8/3 主卡绿， 副卡pending,,
westyangguo,"PP, nonCC",NSC,EB1A,5/20/2015,6/26/2015,37,7/17/2015,7/8/2015,Yes,WI,,,Blessing,,,210,"Received FP notice mail on 7/3. Walk in failed first time at 3pm, then suceeded the second time at 1pm.",,
zc,"PP, nonCC",NSC,EB1B,5/19/2015,6/20/2015,32,7/7/2015,6/26/2015,Yes,AZ,,,2015-07-22,26,64,,"Received FP notice mail on 6/25, easy walk-in at 11:30am, 主卡绿，副卡RFE",,
trytry,"PP, CC",NSC,EB1B,5/18/2015,,,6/30/2015,6/12/2015,Yes,CA,7/24/2015,67,Blessing,,,212,,,
"HD01
","PP, nonCC",NSC,EB1B,5/15/2015,6/12/2015,28,6/29/2015,6/22/2015,"Yes
","CA
",7/23/2015,69,2015-08-06,45,83,,,,
baiyujin,"PP, nonCC",NSC,EB1B,5/14/2015,6/13/2015,30,6/30/2015,6/30/2015,No,CO,,,2015-08-14,45,92,,没有申请AP/EAD，7/28收到RFE，体检表忘记签名。8/27卡寄出来了。,,
Greeneng,"PP, nonCC",NSC,EB1A,5/13/2015,6/12/2015,30,6/29/2015,6/19/2015,Yes,CA,,,2015-07-20,31,68,,,,
zz,"PP, nonCC",NSC,EB1A,5/11/2015,6/8/2015,28,6/25/2015,6/25/2015,No,CA,7/20/2015,70,Blessing,,,219,,,
ninimi,"PP, nonCC",NSC,EB1A,5/11/2015,6/12/2015,32,6/29/2015,6/29/2015,No,IN,7/14/2015,64,2015-07-31,32,81,,"Received FP notice mail on 6/18. 主副同时EAD/AP, 主副同绿",,
hyly,"PP, nonCC",NSC,EB1B,5/11/2015,6/13/2015,33,6/30/2015,6/23/2015,Yes,IL,,,2015-07-23,30,73,,Received FP notice mail on 6/18,,
Lily,"nonPP, nonCC",NSC,EB1A,5/8/2015,6/12/2015,35,6/30/2015,6/30/2015,No,CA,7/13/2015,66,10/1/2015,90,90,,Received FP notice mail on 6/12. Failed walk-in at 2:00pm. The support office is always full.,,
kk,"PP, nonCC",NSC,EB1B,5/8/2015,6/11/2015,34,6/25/2015,6/12/2015,Yes,CA,7/21/2015,74,Blessing,,,222,,,
AF,"PP, nonCC",NSC,EB1B,5/8/2015,6/13/2015,36,6/30/2015,6/19/2015,Yes,CA,8/20/2015,104,Blessing,,,222,Received FP notice mail on 6/18; Easy walk-in at 10am.,,
Celine,"PP,CC",NSC,EB1B,5/8/2015,5/23/2015,15,6/11/2015,6/1/2015,Yes,WA,7/16/2015,69,Blessing,,,222,"AP was approved frist, EAD was approved 5 days later",,
Ginkgo,"nonPP, CC",NSC,EB1B,5/5/2015,6/10/2015,36,6/26/2015,6/26/2015,No,CA,7/11/2015,72,Blessing,,,225,,,
dlx,"PP, nonCC",NSC,EB1A,5/4/2015,6/7/2015,34,6/24/2015,6/12/2015,Yes,IN,,,2015-07-07,25,64,,,,
edwardgao,"PP, nonCC",NSC,EB1A,5/4/2015,,,,6/17/2015,,,7/14/2015,72,2015-07-14,27,71,,,,
zh,"PP, nonCC",NSC,EB1A,5/1/2015,6/18/2015,48,7/1/2015,6/28/2015,Yes,IN,7/13/2015,74,Blessing,,,229,Received FP notice mail on 6/18; Easy walk-in at 11:45,,
lsat,"PP, nonCC",NSC,EB1A,5/1/2015,6/6/2015,36,,6/23/2015,,,7/6/2015,66,2015-07-25,32,85,,,,
x1,"PP, nonCC",NSC,EB1B,5/1/2015,6/6/2015,36,6/22/2015,6/22/2015,No,CA,7/21/2015,81,2015-08-04,43,95,,,,
hammer,"PP, nonCC",NSC,EB1B,5/1/2015,6/6/2015,36,6/23/2015,6/12/2015,Yes,CA,7/10/2015,70,2015-07-24,42,84,,"Received FP notice mail on 6/11; Easy walk-in at 8am, no question asked; Physical EAD/AP combo card received from USPS mail on Jul. 16",,
ion,"PP, nonCC",NSC,EB1B,5/1/2015,6/6/2015,36,6/23/2015,6/23/2015,No,MN,8/3/2015,94,Blessing,,,229,,,
zymj,"nonPP, nonCC",NSC,EB2/EB1B,5/1/2015,6/5/2015,35,6/22/2015,6/22/2015,No,WI,7/13/2015,73,2015-08-04,43,95,229,"8/4 主卡绿, 副卡RFE，两周后绿",,
haiyangcherry,"PP, nonCC",NSC,EB1A,4/30/2015,6/18/2015,48,6/29/2015,6/29/2015,No,IL,7/10/2015,70,2015-08-04,36,96,,主副同绿,,
dyq,"PP, nonCC",NSC,EB1B,4/30/2015,5/23/2015,23,6/11/2015,6/2/2015,Yes,CA,7/9/2015,70,12/10/2015,191,224,230,"EAD/AP received 7/16. Received FP notice mail on 5/29; Walk-in with reason (biz trip), 2pm, Santa Clara",,
carmak,"PP, nonCC",NSC,EB1B,4/30/2015,6/6/2015,37,6/25/2015,6/25/2015,No,WA,7/7/2015,75,2015-08-04,40,96,,主副同绿,,
nl,"PP,nonCC",NSC,EB1B,4/30/2015,5/23/2015,23,6/8/2015,6/8/2015,No,WI,,,2015-06-18,10,49,,"Primary approved, dependent not yet; dependent EAD/AP 7/1; dependent was out of town during the scheduled FP time, took FP at another site (same time), no question asked",,
"rp
","PP, CC",NSC,EB1A,4/28/2015,5/30/2015,32,6/19/2015,6/10/2015,Yes,AZ,7/9/2015,72,Blessing,,,232,"USCIS received RFE response on 08/21; RFE mail received on 08/17; RFE email on 08/12; EAD/AP was mailed from NSC on 07/14 and arrived on 07/15. Received FP notice on 06/05; Easy walk-in at 10am on 06/10, no questions asked. ",,
LJ,"nonPP, nonCC",NSC,EB1B,4/27/2015,5/29/2015,32,6/11/2015,6/1/2015,Yes,CA,7/8/2015,72,2015-08-07,67,102,,,,
leekoei,"nonPP, nonCC",NSC,EB1B,4/27/2015,5/30/2015,33,6/17/2015,6/9/2015,Yes,CA,,,2015-06-22,13,56,,,,
