,140 PP? 140/485 CC?,Center,Type,485 RD,FP Notice Date ,Days from RD to FP Notice Date,Scheduled FP Date,FP Date,Walk in?,,"AP / EAD 
Approved 
Date","Days from
RD to AP/EAD AD",485 AD,"Days from
 FP Date to
485 AD",New Card Is Being Produced,Days from RD,Please Don't Filter Data!!!,,
YG,"PP, CC",NSC,EB1A,3/25/2015,,,4/30/2015,4/30/2015,No,MN,5/21/2015,57,2015-06-15,46,82,,主副同绿,,
OIC,"PP, nonCC",NSC,EB1A,3/25/2015,4/30/2015,36,5/12/2015,5/6/2015,Yes,WA,6/9/2015,76,2015-06-11,36,78,,"easy walk in at 3pm, no question asked, 主副同绿",,
ZW,"PP, nonCC",NSC,EB1A,3/24/2015,4/24/2015,31,5/13/2015,5/13/2015,No,AZ,5/28/2015,65,2015-10-16,156,206,,http://www.mitbbs.com/article_t0/Immigration/33569017.html，主附同绿,,
bk,"PP, nonCC",NSC,EB1B,3/24/2015,4/24/2015,31,5/12/2015,5/4/2015,Yes,PA,5/26/2015,63,Blessing,,,267,walk in at 2pm. Was told not permitted and need special cause but still let us do since barely anyone in the line.,,
MS,"PP, nonCC",NSC,EB1A,3/20/2015,4/23/2015,34,5/5/2015,5/5/2015,No,HI,5/26/2015,67,2015-11-19,198,244,271,主绿,,
zmsi,"PP, nonCC","NSC
",EB1A,3/20/2015,4/20/2015,31,4/30/2015,4/30/2015,No,IL,5/27/2015,68,2015-06-15,46,87,,,,
houzi,"PP, nonCC",NSC,EB1A,3/17/2015,4/10/2015,24,4/30/2015,4/30/2015,No,CA,6/2/2015,77,Blessing,,,274,,,
CH,"PP, nonCC",NSC,EB1B,3/17/2015,4/13/2015,27,4/29/2015,4/29/2015,No,CA,5/6/2015,50,2015-06-17,49,92,,主副同绿,,
zfan,"nonPP, nonCC",NSC,EB1B,3/17/2015,4/10/2015,24,4/27/2015,4/27/2015,No,MN,5/12/2015,56,Blessing,,,274,,,
entropie,,NSC,,3/16/2015,,,,4/20/2015,,,5/21/2015,66,2015-06-04,45,80,,,,
wpcui,,NSC,,3/13/2015,,,,,,,,,2015-06-04,,83,,http://www.mitbbs.com/article_t/Immigration/33510487.html,,
vandenberg,"PP, nonCC",NSC,EB1A,3/10/2015,,,,4/23/2015,,,5/20/2015,71,2015-06-15,53,97,,主副同时，http://www.mitbbs.com/article_t/Immigration/33515875.html,,
Covertcovet,"nonPP, CC",NSC,EB1B,3/10/2015,4/3/2015,24,4/23/2015,4/15/2015,Yes,MI,5/19/2015,70,Blessing,,,281,very easy walk in,,
liojian,"nonPP, nonCC",NSC,EB1C,3/9/2015,,,4/23/2015,4/23/2015,No,,5/26/2015,78,2015-06-04,42,87,,http://www.trackitt.com/member/liojian,,
XS,"PP, nonCC",NSC,EB1B,3/6/2015,4/9/2015,34,4/22/2015,4/10/2015,Yes,CA,5/21/2015,76,Blessing,,,285,"Arrived at 10:30am, reason like pregnancy at 36weeks, wait until 3:00, finish in 15mins",,
WY,"PP, nonCC",NSC,EB1B,3/6/2015,4/13/2015,38,4/27/2015,4/22/2015,Yes,CA,5/8/2015,63,2015-05-27,35,82,,easy walk in at 3 PM,,
P,"nonPP, nonCC",NSC,EB1A,3/5/2015,4/17/2015,43,5/5/2015,5/1/2015,Yes,VA,5/7/2015,63,2015-06-05,35,92,,,,
W,"nonPP, nonCC",NSC,EB1A,3/5/2015,4/11/2015,37,4/30/2015,4/20/2015,Yes,WA,5/12/2015,63,2015-06-05,46,92,,,,
zzzll,"PP, nonCC",NSC,EB1A,3/4/2015,4/3/2015,30,4/22/2015,4/22/2015,No,IN,5/15/2015,72,Blessing,,,287,,,
HaPPyeasy,"PP, nonCC",NSC,EB1A,3/4/2015,4/3/2015,30,4/20/2015,4/20/2015,No,OH,5/15/2015,72,Blessing,,,287,,,
gc,PP. nonCC,NSC,EB1B,3/2/2015,,,,,No,CA,5/12/2015,71,Blessing,,,289,,,
flyingdogpig,,NSC,,2/27/2015,,,,,,,,,2015-06-18,,111,,6/3      RFE FOR主申请人出生证明; 6/10    RFE Response Received; http://www.mitbbs.com/article_t/Immigration/33518959.html,,
xuan,"nonPP, nonCC",NSC,EB1A,2/26/2015,4/2/2015,35,4/17/2015,4/17/2015,No,CA,4/28/2015,61,2015-05-26,39,89,,http://www.trackitt.com/member/xuanyg126,,
yanchen,"PP, nonCC",NSC,EB1A,2/25/2015,4/3/2015,37,4/16/2015,4/16/2015,No,IL,5/8/2015,72,2015-06-19,64,114,,"20150525 rfe for contribution, marriage certification, pay statement, 20150610 rfe response received, ",,
cs,"nonPP,CC",NSC,EB1B,2/19/2015,3/20/2015,29,4/6/2015,4/13/2015,Yes,CA,5/6/2015,76,Blessing,,,300,"Missed the aPPointment date due to travel, walk in one week later",,
tonysoCCer,nonPP. nonCC,NSC,,2/19/2015,,,,end march,,,5/9/2015,79,2015-05-22,~55,92,,http://www.mitbbs.com/article_t/Immigration/33501751.html,,
ll,"PP,nonCC",NSC,EB1B,2/18/2015,3/20/2015,30,4/6/2015,4/6/2015,No,MN,4/21/2015,62,2015-06-09,64,111,,,,
dasahCC,"PP, CC",NSC,EB1A,2/17/2015,3/15/2015,26,3/31/2015,3/24/2015,Yes,CA,5/6/2015,78,2015-07-31,129,164,,"send email asking for the EAD/AP status, got approved next two days",,
cw,"PP, CC",NSC,EB1B,2/17/2015,,,4/2/2015,4/2/2015,No,CA,4/16/2015,58,Blessing,,,302,,,
miclxx,"nonPP, nonCC",NSC,EB1B,2/17/2015,3/13/2015,24,3/31/2015,3/31/2015,No,WI,4/23/2015,65,2015-05-29,59,101,,,,
foreverzad,,NSC,,2/17/2015,,,,,,,5/6/2015,78,2015-06-04,,107,,http://www.mitbbs.com/article_t/Immigration/33509821.html,,
cookerCA,"PP, nonCC",NSC,,2/17/2015,,,,4/21/2015,Yes,,4/30/2015,72,2015-05-27,36,99,,http://www.mitbbs.com/article_t/Immigration/33505315.html,,
Flyfly,"PP, nonCC",NSC,EB1A,2/16/2015,3/11/2015,23,3/24/2015,3/24/2015,No,CA,5/12/2015,85,Blessing,,,303,,,
oldgreatboy,,NSC,,2/13/2015,,,,,,,4/5/2015,51,2015-06-02,,109,,http://www.mitbbs.com/article_t/Immigration/33508811.html,,
Macandcheese,,NSC,,2/13/2015,2/24/2015,,3/31/2015,3/24/2015,Yes,,4/22/2015,68,2015-06-06,74,113,,http://www.mitbbs.com/article_t/Immigration/33511241.html,,
DD,"PP, CC",NSC,EB1B,2/11/2015,3/13/2015,30,3/30/2015,3/30/2015,No,AZ,4/28/2015,76,Blessing,,,308,,,
xicwang,"nonPP, nonCC",NSC,NIW,2/11/2015,3/11/2015,29,3/25/2015,3/25/2015,No,CA,4/7/2015,56,2015-06-08,75,117,,only EAD updated,,
y,"PP, nonCC",NSC,EB1A,2/10/2015,3/13/2015,31,4/2/2015,3/20/2015,Yes,CA,4/13/2015,62,2015-06-02,74,112,,Easy walk in,,
xg,"PP,nonCC",NSC,EB1A,2/9/2015,3/6/2015,25,3/26/2015,3/16/2015,W,MO,4/6/2015,56,Blessing,,,310,only EAD updated,,
HX,"PP, CC",NSC,EB1B,2/9/2015,3/20/2015,40,4/10/2015,4/10/2015,No,AZ,4/14/2015,64,2015-06-02,53,113,,,,
JC,"PP,nonCC",NSC,EB1A,2/6/2015,3/6/2015,28,3/25/2015,3/16/2015,Yes,CA,4/6/2015,59,2015-05-21,66,104,,http://www.mitbbs.com/article_t/Immigration/33500803.html,,
Blueforest,"PP, nonCC",NSC,EB1B,2/6/2015,3/10/2015,32,3/25/2015,3/25/2015,No,CA,4/9/2015,63,Blessing,,,313,,,
blueforest,"PP, nonCC",nsc,EB1B,2/6/2015,,,,3/25/2015,,,4/30/2015,83,2015-06-15,82,129,,http://www.mitbbs.com/article_t/Immigration/33515943.html,,
MSW,,NSC,,2/6/2015,3/7/2015,29,3/24/2015,3/24/2015,No,IL,,,Blessing,,,313,,,
yx,"PP, nonCC",NSC,EB1A,2/5/2015,,,3/27/2015,3/27/2015,No,OH,4/6/2015,60,Blessing,,,314,Only EAD,,
Tyyang,"PP, nonCC",NSC,EB1B,2/5/2015,3/6/2015,29,3/24/2015,3/24/2015,No,CA,,,Blessing,,,314,,,
"comid
","PP, nonCC",NSC,EB1B,2/5/2015,3/11/2015,34,3/25/2015,3/13/2015,Yes,"MO
",4/10/2015,64,2015-06-15,94,130,,"Easy walk in at 2PM, empty room and no question asked
",,
LH,"PP, nonCC",NSC,EB1B,2/5/2015,3/9/2015,32,3/16/2015,3/16/2015,No,WA,4/6/2015,60,2015-06-29,105,144,,,,
sc,"nonPP, nonCC",NSC,EB1C,2/5/2015,3/16/2015,39,3/25/2015,3/25/2015,No,WA,4/12/2015,66,Blessing,,,314,,,
do,"PP, nonCC",NSC,EB1B,2/3/2015,3/12/2015,37,3/27/2015,3/13/2015,Yes,CA,4/6/2015,62,Blessing,,,316,,,
wsl,"PP, nonCC",NSC,EB1A,2/2/2015,,,3/27/2015,3/27/2015,Yes,CA,4/6/2015,63,2015-06-03,68,121,,Combo,,
zy,"PP, nonCC",NSC,EB1B,2/2/2015,3/11/2015,,3/18/2015,3/18/2015,No,CA,4/9/2015,66,Blessing,,,317,,,
quepanda,"PP,CC",NSC,,1/30/2015,2/6/2015,7,2/25/2015,2/25/2015,No,CA,4/15/2015,75,2015-05-29,93,119,,主副同绿,,
a654123,"nonPP, nonCC",NSC,EB1A,1/29/2015,,,,3/19/2015,,,4/6/2015,67,2015-05-27,69,118,,http://www.mitbbs.com/article_t/Immigration/33504397.html,,
Michelle,"PP, nonCC",NSC,EB1B,1/28/2015,2/4/2015,7,3/27/2015,3/27/2015,No,Id,5/4/2015,96,2015-06-16,81,139,,"6/16/2015主副同绿。AP received one month after filing 485. Separate EAD aPPlication : 2/18/15 RD, 5/4/15 EAD card was approved and ordered to produce.",,
Matt,"PP, CC",NSC,EB1A,1/26/2015,2/20/2015,25,3/11/2015,3/11/2015,No,MI,4/6/2015,70,2015-09-16,189,233,,,,
ZLY,"PP, nonCC",NSC,EB1A,1/26/2015,3/7/2015,40,3/15/2015,3/15/2015,No,OR,4/3/2015,67,2015-05-29,75,123,,,,
zzx,"PP, nonCC",NSC,EB1B,1/26/2015,2/22/2015,27,3/5/2015,3/5/2015,No,OR,4/7/2015,71,Blessing,,,324,,,
moonrain,,NSC,,1/23/2015,,,,,,,,,2015-05-15,,112,,http://www.mitbbs.com/article_t/Immigration/33496855.html,,
bbj,"PP, nonCC",NSC,EB1A,1/22/2015,2/19/2015,28,3/11/2015,3/11/2015,No,CA,4/6/2015,74,2015-05-13,63,111,,"Combo
",,
PK,"PP, nonCC",NSC,EB1A,1/22/2015,2/20/2015,29,3/11/2015,3/11/2015,No,CO,4/7/2015,75,2015-05-28,78,126,,同绿,,
pengpengxia,,NSC,,1/22/2015,,,,3/8/2015,,,,,2015-05-13,66,111,,http://www.mitbbs.com/article_t/Immigration/33494367.html,,
z,"PP, nonCC",NSC,EB1A,1/20/2015,2/20/2015,31,3/12/2015,3/2/2015,Yes,CA,4/14/2015,84,Blessing,,,330,"Easy walk, no question asked",,
xli234,"PP, nonCC",NSC,EB1A,1/20/2015,2/17/2015,28,2/27/2015,2/27/2015,No,CA,,,2015-07-24,147,185,,,,
SZJ,"PP, nonCC",NSC,EB1B,1/20/2015,2/13/2015,24,3/2/2015,2/24/2015,Yes,WA,4/6/2015,76,2015-05-18,83,118,,"Easy walk, no question asked",,
candler,,NSC,,1/20/2015,,,,,,,,,2015-04-27,,97,,http://www.mitbbs.com/article_t/Immigration/33477343.html,,
SHARKMAN,,NSC,,1/16/2015,,,,,,,4/9/2015,83,2015-04-30,,104,,http://www.mitbbs.com/article_t/Immigration/33482213.html,,
WZ,"PP, nonCC",NSC,EB1A,1/15/2015,2/13/2015,29,3/6/2015,3/6/2015,No,CO,4/6/2015,81,2015-05-26,81,131,,,,
KY,"PP, nonCC",NSC,EB1B,1/15/2015,2/13/2015,29,3/3/2015,3/3/2015,No,UT,4/6/2015,81,2015-05-11,69,116,,http://www.mitbbs.com/article_t/Immigration/33492235.html,,
ZF,"PP, nonCC",NSC,EB1A,1/14/2015,2/6/2015,23,2/25/2015,2/17/2015,Yes,CA,4/6/2015,82,2015-09-16,211,245,,,ZF,ZF
Kb24,"PP, nonCC",NSC,EB1B,1/14/2015,2/16/2015,33,2/23/2015,2/23/2015,No,OR,4/10/2015,86,2015-05-06,72,113,,,,
ATM,"PP, NON CC",NSC,EB1A,1/12/2015,2/6/2015,25,2/24/2015,2/24/2015,No,CO,4/7/2015,85,Blessing,,,338,Walk in failed. Flight itineray required.,,
as,"PP, nonCC",NSC,EB1A,1/12/2015,,,,,No,MI,4/17/2015,95,2015-06-04,,143,,,,
ivywalker,"PP, NON CC",NSC,EB1A,1/12/2015,2/10/2015,,2/27/2015,2/27/2015,,,3/30/2015,77,2015-04-30,62,108,,http://www.mitbbs.com/article_t/Immigration/33481471.html,,
BY,"PP, nonCC",NSC,EB1A,1/9/2015,2/18/2015,40,2/26/2015,2/26/2015,No,MI,4/6/2015,87,2015-05-22,85,133,,主副同绿,,
Blackcanoe,"PP, nonCC",NSC,EB1A,1/8/2015,2/8/2015,30,2/17/2015,2/17/2015,No,OH,4/6/2015,88,2015-05-14,86,126,,副申请 GREENED ON 7/24,,
Onethree,"PP, nonCC",NSC,EB1B,1/7/2015,1/31/2015,24,2/18/2015,2/9/2015,Yes,CA,3/26/2015,78,2015-05-21,101,134,,主副同绿,,
solarwind2,"PP, nonCC",NSC,EB1A,1/6/2015,2/6/2015,31,2/17/2015,2/17/2015,,AZ,4/6/2015,90,2015-07-14,147,189,,,,
lylyjenny,"PP, nonCC",NSC,EB1A,1/6/2015,1/30/2015,24,2/18/2015,2/18/2015,No,CA,4/6/2015,90,10/16/2015,240,283,344,,,
maskwolf,"PP, nonCC",NSC,EB1A,1/6/2015,1/23/2015,17,2/11/2015,2/3/2015,Yes,,4/11/2015,95,Blessing,,,344,Easy walk in. Waited for other scheduled aPPointments to finish first.,,
Drdreamer,"PP,nonCC",NSC,EB1A,1/5/2015,1/23/2015,18,2/9/2015,2/9/2015,No,CA,4/6/2015,91,2015-05-30,110,145,,http://www.mitbbs.com/article_t/Immigration/33507145.html,,
xz,"PP, CC",NSC,EB1B,1/2/2015,2/4/2015,32,2/11/2015,2/15/2015,No,,3/31/2015,88,2015-05-12,86,130,,,,
frank,"PP, nonCC",NSC,EB1A,12/31/2014,1/30/2015,30,2/17/2015,2/9/2015,Yes,CA,4/7/2015,97,2015-05-18,98,138,,,,
L,"PP, nonCC",NSC,EB1B,12/31/2014,,,,,No,CA,4/7/2015,97,2015-07-20,,201,,http://www.mitbbs.com/article_t/Immigration/33534131.html,,
Jeff,"PP, nonCC",NSC,EB1B,12/31/2014,1/30/2015,30,2/19/2015,2/19/2015,No,CA,4/7/2015,97,Blessing,,,350,,,
Ben,"nonPP, nonCC",NSC,EB1A,12/29/2014,,,2/5/2015,2/5/2015,No,CA,4/7/2015,99,2015-05-29,113,151,,,,
XL,"PP, nonCC",NSC,EB1B,12/29/2014,1/23/2015,26,2/11/2015,2/11/2015,No,CA,4/8/2015,100,Blessing,,,352,,,
J,"nonPP, nonCC",NSC,EB1B,12/29/2014,2/4/2015,37,2/12/2015,2/7/2015,Yes,IN,4/9/2015,101,2015-06-25,138,178,,,,
ff,"PP, CC",NSC,EB1B,12/26/2014,,,,2/11/2015,No,CA,4/23/2015,118,2015-05-07,85,132,,,,
luolaeimeng,,NSC,,12/26/2014,,,,2/5/2015,,,4/6/2015,101,2015-06-06,121,162,,http://www.mitbbs.com/article_t/Immigration/33511277.html,,
XX,"PP, nonCC",NSC,EB1A,12/24/2014,1/23/2015,32,2/6/2015,2/6/2015,No,CA,3/25/2015,91,2015-05-01,84,128,,副申请人被RFE,,
hehemse,"PP, nonCC",NSC,EB1A,12/24/2014,,,2/3/2015,2/3/2015,No,CA,4/1/2015,98,2015-04-29,85,126,,,,
Wendy,"PP, nonCC",NSC,EB1A,12/23/2014,1/23/2015,31,2/11/2015,2/11/2015,No,IL,3/25/2015,92,2015-04-30,78,128,,,,
Sue,"PP, nonCC",NSC,EB1A,12/23/2014,1/23/2015,31,2/10/2015,2/4/2015,Yes,IN,3/24/2015,91,2015-07-17,163,206,,"Arrived at 1:30pm, no question asked, finished in 20 min.",,
"alps515
",PP CC,"NSC
",EB1B,12/23/2014,2/10/2015,49,2/19/2015,2/19/2015,No,CA,3/26/2015,93,2015-04-27,67,125,,http://www.mitbbs.com/article_t/Immigration/33478293.html,,
SSJ,"PP, nonCC",NSC,EB1B,12/23/2014,1/23/2015,31,2/11/2015,2/11/2015,No,,3/23/2015,90,2015-05-06,84,134,,副申请人8月3日绿了,,
wenjieren200,,NSC,,12/23/2014,,,,2/11/2015,,,3/30/2015,97,2015-04-30,78,128,,http://www.mitbbs.com/article_t/Immigration/33483143.html,,
wszcas,"PP, no CC",NSC,EB1A,12/22/2014,1/23/2015,32,2/6/2015,1/28/2015,Yes,CA,,,Blessing,,,359,"walk in SF, very nice",,
Oliver,"PP, nonCC",NSC,EB1A,12/22/2014,,,2/2/2015,1/28/2015,Yes,WA,3/18/2015,86,2015-05-06,98,135,,"Arrived at 8:00am, no question asked, wait until 8:30",,
zoohow,"PP, nonCC",NSC,EB1B,12/22/2014,1/22/2015,31,2/6/2015,2/13/2015,Yes,CA,3/5/2015,73,2015-04-30,76,129,,I walked in at a different location. Very nice staff!,,
ptf,"PP, CC",NSC,EB1B,12/22/2014,1/14/2015,23,1/27/2015,1/27/2015,Yes,CA,2/23/2015,63,2015-06-02,126,162,,"140 RFE, 485 RFE, both because the attorney held important docs in the first submission. Finally...",,
hzblzly,"PP, nonCC",NSC,EB1B,12/18/2014,1/16/2015,29,2/6/2015,1/27/2015,Yes,CA,4/1/2015,104,2015-04-27,90,130,,,,
Yyx,"PP, nonCC",NSC,EB1A,12/17/2014,1/13/2015,30,1/27/2015,1/27/2015,No,CA,3/28/2015,101,2015-05-21,114,155,,RFE 4/24/15。 主副同绿,,
ST,"PP, nonCC",NSC,EB1A,12/12/2014,1/16/2015,35,2/6/2015,1/28/2015,Yes,CA,3/3/2015,81,2015-05-12,104,151,,,,
CH,"PP, nonCC",NSC,EB1A,12/12/2014,,,1/20/2015,1/20/2015,No,IL,2/10/2015,60,2015-05-04,104,143,,,,
lq,"PP, nonCC",NSC,EB1B,12/12/2014,1/16/2015,35,2/6/2015,2/6/2015,No,CA,3/4/2015,82,2015-06-08,122,178,,"05/04/15 主卡被RFE, 副卡没有消息 主副同时绿",,
Hoy,"PP, nonCC",NSC,EB1A,12/11/2014,1/16/2015,36,2/2/2015,2/2/2015,Yes,CA,3/2/2015,76,2015-04-27,84,137,,"Failed. Arrived at 3:00 pm, nobody there, only staff, took a look at my notice, and circled the date: come here at that day scheduled :( :(",,
HF,"PP, nonCC",NSC,EB1B,12/11/2014,1/23/2015,43,2/6/2015,2/4/2015,No,CA,2/27/2015,78,2015-05-04,89,144,,副申请人被RFE,,
lulu916,"nonPP, CC",NSC,EB1A,12/10/2014,,,,,No,MN,2/27/2015,79,2015-06-06,,178,,,,
py186,"PP, nonCC",NSC,EB1A,12/9/2014,2/10/2015,63,1/26/2015,1/26/2015,No,NV,2/10/2015,63,2015-06-18,143,191,,,,
xiaozhuxc,,NSC,,12/5/2014,,,,,,,,76,2015-04-27,,143,,http://www.mitbbs.com/article_t/Immigration/33477765.html,,
Pengyu,"nonPP, nonCC",NSC,EB1A,12/4/2014,,,1/13/2015,1/13/2015,No,CA,2/26/2015,84,2015-04-24,101,141,,http://www.mitbbs.com/article_t/Immigration/33475825.html,,
bcl2015,"nonPP, nonCC",NSC,EB1A,12/4/2014,1/5/2015,32,1/13/2015,1/13/2015,No,CA,2/24/2015,82,2015-05-18,125,165,,,,
Greened,"PP, nonCC",NSC,EB1A,12/4/2014,12/26/2014,22,1/14/2015,1/5/2015,Yes,OH,2/10/2015,68,2015-04-24,109,141,,"Arrived around 3:30, no questions asked, finished 4:15, very nice staff! ---485 approved April 24, unblievable! only GOD can explain.",,
py,"PP, CC",NSC,EB1B,12/4/2014,2/5/2015,63,2/18/2015,2/18/2015,No,CA,2/26/2015,84,2015-05-20,91,167,,,,
chickenout,"PP, nonCC",NSC,EB1B,12/4/2014,1/2/2015,29,1/14/2015,1/14/2015,No,CA,2/17/2015,75,2015-05-13,119,160,,,,
microgrid,"PP, nonCC",NSC,EB1A,12/1/2014,12/26/2014,25,1/16/2015,1/16/2015,No,MI,4/6/2015,126,2015-04-24,98,144,,"Filed EAD on Mar. 23, approved on Apr. 6, got expedited EAD by calling USCIS. ",,
MIT2012,,NSC,,11/28/2014,,,,1/5/2015,,,,,2015-04-27,112,150,,http://www.mitbbs.com/article_t/Immigration/33478159.html,,
chanel2015,,NSC,,11/26/2014,,,,,,,2/10/2015,76,2015-04-24,,149,,http://www.mitbbs.com/article_t/Immigration/33475801.html,,
komma,,NSC,,11/24/2014,,,,1/6/2015,,IL,,,2015-04-24,108,151,,http://www.mitbbs.com/article_t/Immigration/33475885.html,,
coke,"PP,nonCC",NSC,EB1A,11/20/2014,12/17/2014,27,12/30/2014,12/22/2014,W,,2/17/2015,89,2015-05-13,142,174,,主副同时,,
Snow,"PP,nonCC",NSC,EB1B,11/20/2014,12/5/2014,,1/14/2015,1/14/2015,,IL,,,Blessing,,,391,,,
TSG,,NSC,,11/20/2014,,,,1/13/2015,,,,,2015-04-29,106,160,,http://www.mitbbs.com/article_t/Immigration/33481217.html,,
Emma0910,,NSC,EB1B,11/17/2014,,,,12/30/2014,,,,,2015-04-21,112,155,,http://www.mitbbs.com/article_t/Immigration/33475597.html,,
woaixiaoniu,,NSC,,11/17/2014,,,1/5/2015,1/5/2015,,,,,2015-04-13,98,147,,http://www.mitbbs.com/article_t/Immigration/33464933.html,,
nuaakate,"PP, nonCC",NSC,EB1A,11/14/2014,12/19/2014,35,1/8/2015,12/29/2014,No,CA,1/22/2015,69,2015-04-25,117,162,,"Arrived around 12pm, questions asked, finished in 15 min",,
XX,"PP, nonCC",NSC,EB1B,11/14/2014,,,1/9/2015,1/9/2015,,CA,1/22/2015,69,2015-04-29,110,166,,,,
jiena,,NSC,EB1B,11/14/2014,,,,1/16/2015,,,1/29/2015,76,2015-05-01,105,168,,http://www.mitbbs.com/article_t/Immigration/33483649.html,,
manofscience,,NSC,,11/14/2014,,,12/30/2014,12/30/2014,no,,1/22/2015,69,2015-04-24,115,161,,http://www.mitbbs.com/article_t/Immigration/33475887.html,,
grass007,,NSC,,11/14/2014,,,,1/9/2015,,,,,2015-04-29,110,166,,http://www.mitbbs.com/article_t/Immigration/33481075.html,,
dz,"PP, nonCC",NSC,EB1A,11/13/2014,12/12/2014,29,12/30/2014,12/19/2014,W,IL,,,Blessing,,,398,"Arrived around 2, no questions asked, finished in 15 min, very nice staff at Pulaski!",,
0anonymous,"PP, nonCC",NSC,EB1A,11/13/2014,,,12/23/2014,12/23/2014,W,,,,2015-04-21,119,159,,The e-mail and message notices for Card/ Document Production were received around noon for both aPPlicant and dependents. ,,
zgzg,"PP, nonCC",NSC,EB1B,11/13/2014,12/5/2014,22,12/22/2014,12/22/2014,No,,,,2015-04-27,126,165,,,,
bluetadpole,,NSC,,11/13/2014,,,,12/20/2014,W,,1/28/2015,76,2015-04-29,130,167,,http://www.mitbbs.com/article_t/Immigration/33481337.html,,
wzzw,"nonPP, nonCC",NSC,EB1A,11/12/2014,12/28/2014,46,1/8/2015,1/8/2015,No,MI,1/28/2015,77,2015-05-18,130,187,,,,
anonymous,"PP, nonCC",NSC,EB1B,11/12/2014,12/12/2014,30,12/30/2014,12/30/2014,No,,1/22/2015,71,2015-07-17,199,247,,Dependent marriage RFE ,,
CapitalD,,NSC,,11/12/2014,,,,12/23/2014,,,2/3/2015,83,2015-04-23,121,162,,http://www.mitbbs.com/article_t/Immigration/33474753.html,,
anonymous125,"PP, nonCC",NSC,EB1B,11/10/2014,12/19/2014,39,12/31/2014,12/24/2014,W,CA,1/22/2015,73,2015-04-25,122,166,,Walk-in twice. ,,
charlesqwei,,,,11/10/2014,,,,,,,,,2015-04-20,,161,,http://www.mitbbs.com/article_t/Immigration/33470357.html,,
xb,"PP, nonCC",NSC,EB1A,11/6/2014,,,12/XX/2014,,,,2/2/2015,88,2015-04-15,,160,,,,
Gc,"PP, nonCC",NSC,EB1A,11/6/2014,,,12/30/2015,,,,1/23/2015,78,Blessing,,,405,,,
saPPhirewing,"PP, nonCC",NSC,EB1B,11/4/2014,12/8/2014,34,12/18/2014,12/18/2014,No,MN,1/29/2015,86,2015-05-06,139,183,,http://www.mitbbs.com/article_t/Immigration/33488271.html,,
tsio,,NSC,,11/4/2014,12/5/2014,,,12/6/2014,W,,1/23/2015,80,2015-04-20,135,167,,http://www.mitbbs.com/article_t/Immigration/33470069.html,,
jj,"nonPP, CC",NSC,EB1A,11/3/2014,12/5/2014,32,12/17/2014,12/17/2014,,,1/19/2015,77,2015-05-12,146,190,,,,
mmzz,"PP, nonCC",NSC,EB1A,10/31/2014,11/30/2014,30,12/12/2014,12/5/2014,W,CA,1/21/2015,82,Blessing,,,411,,,
ILM,,NSC,,10/31/2014,,,,12/5/2014,W,,1/14/2015,75,2015-04-13,129,164,,http://www.mitbbs.com/article_t/Immigration/33464281.html,,
chrispig,,NSC,,10/31/2014,,,,,,,,,2015-04-27,,178,,http://www.mitbbs.com/article_t/Immigration/33477561.html,,
JasonTsai,PP.nonCC,NSC,EB1B,10/29/2014,,,,12/13/2014,,,1/14/2015,77,2015-04-10,118,163,,http://www.mitbbs.com/article_t/Immigration/33462689.html,,
sealight,"nonPP, CC",NSC,EB1B,10/28/2014,11/14/2014,17,12/5/2014,12/5/2014,Failed twice,NV,1/15/2015,79,2015-05-07,153,191,,,,
xuer,"PP, nonCC",NSC,EB1A,10/27/2014,12/2/2014,36,,12/2/2014,No,CA,1/22/2015,87,Blessing,,,415,,,
powerofnow ,nonCC,NSC,EB1B,10/27/2014,12/2/2014,36,12/2/2014,12/2/2014,No,,1/23/2015,88,2015-04-10,129,165,,,,
Raya,"nonPP, nonCC",NSC,EB1A,10/26/2014,,,,11/24/2014,,,,,2015-04-27,154,183,,http://www.mitbbs.com/article_t/Immigration/33486311.html,,
mseboy,"PP, nonCC",NSC,EB1A,10/24/2014,11/22/2014,36,12/5/2014,12/5/2014,No,AZ,1/22/2015,90,2015-05-20,166,208,,,,
yeecheung,,NSC,,10/24/2014,,,,12/1/2014,,,,,2015-04-08,128,166,,主副同時  http://www.mitbbs.com/article_t/Immigration/33468159.html,/,
douby,,NSC,,10/24/2014,11/14/2014,36,12/5/2014,12/5/2014,No,,1/14/2015,82,2015-04-29,145,187,,http://www.mitbbs.com/article_t/Immigration/33480651.html,,/
robert88,"PP, nonCC",NSC,EB1A,10/23/2014,11/27/2014,35,12/12/2014,11/28/2014,W,"Saint Louis, MO",1/21/2015,90,2015-05-04,157,193,,,,
Anonymousss,"PP,nonCC",NSC,EB1A,10/22/2014,11/27/2014,36,12/4/2014,11/28/2014,W,"Columbus, OH",1/5/2015,75,2015-04-24,147,184,,副申请人被RFE,,
sophiadi,,NSC,,10/20/2014,,,,,,,,,2015-03-26,,157,,http://www.mitbbs.com/article_t/Immigration/33452931.html,,
"UPL
","PP, nonCC",NSC,EB1A,10/17/2014,11/13/2014,27,11/28/2014,11/20/2014,W,"San Francisco, CA",1/8/2015,83,2015-05-08,169,203,,"walk-in. no reason at all, and he just let me in.",,
IHIQ,,NSC,,10/17/2014,,,,,,,12/30/2014,74,2015-03-31,,165,,http://www.mitbbs.com/article_t/Immigration/33454965.html,,
